sentiment,id,user,text
Negative,2257042632,shayk2004,"@MadRadSammy Oh yeah what did you order?  I had a laser hair appt today, ask Rhonda why she hasn't used her gift cert from me yet?  "
Positive,1753886317,Spidersamm,doing the andy dance  the one on fonzie gomez show ;) haha
Positive,1995405058,CheekyTips,http://twitpic.com/6f6sn me with the awesome Ginger....Love this pic 
Positive,2185710872,CodiCaraco,@disneycrazyx sure heyy!!! 
Negative,2257415103,MaxineBoyle_x,Gutted im stuck in 
Negative,1956275665,AnnHeart,My phone is tweeting by itself.  Sorry guys 
Positive,2001586068,bANgZ,feel like watching UP again 
Positive,2008177892,ekfjonas,@mileycyrus http://twitpic.com/6fwg3 - even if it is &quot;emo-ish&quot; you are still beautiful. 
Negative,2043930475,coolnessinabun,What the truck followers keep leaving me 
Negative,2231497882,eyghon8,@hilly519 for realz. I miss my Thursday night crew 
Negative,2328056401,kirkman5000,just did my test ride.....cant ride rollercoasters anymore 
Negative,2232782800,SparklyBluEyes,@thebraysmommy  I got rid of mine tonight so sad
Positive,1971561544,chrisjack,"@ellachou they're scared u, I guess, take care anyway "
Negative,2190776420,aldhin,"recently, my email inbox is full by sale notifications from many stores "
Negative,1835607429,Sicarius27,"Was supposed to start a week of cardio in morning and strength training at night, but already missed cardio  but I did start eating right"
Negative,2260245696,MarleyWills,@Alex_Segal noooo shivering like crazy bangin head- so ill man 
Negative,2189619631,DJDezza,I hate the midnight shift. Blah. There's not enuf time in a day 
Positive,1979412542,dontforgetchaos,"@SapphyNo1 @BigAssBadger Morning  so for spys, youre not very secret about it are you ? Lol."
Negative,2228747483,nadyadee,today is gunna be a looooooong ass day 
Positive,1966486083,algulsiento,@bitchcakesny You are going to blow them away at your reunion. 
Negative,1961055921,aburaglia,Got an appt. w/ the doctor at 4pm today to look at these &quot;bites&quot;. Hoping it isn't an infection. I need more powerful anti-itch cream. 
Negative,2063748614,charlene205,watching makeup videos on youtube.....i should be studying 
Positive,1882521785,mackozer,@ksx4system thanks 
Negative,1982458312,vuitton_chic,I hope i don't forget to watch the MTV Movie Awards tonight 
Positive,2072391097,missxD,a week extension of vacation 
Positive,1834160244,galaxydazzle,@elandenberg Didn't know you knew Moggy! 
Positive,1985908053,zaythar,@sociablextina You look beautiful&gt;Can't wait to see @drewbenz's pics. I hear he's quite good 
Positive,1989296066,sittiebrima,tomorows a big day but not as big as june 8. 
Positive,1690870840,ryanwoodings,@ikovannoy Come to #twachos at The Tavern at Bown Crossing at 6pm 
Negative,1971391129,silne,Epic fail at trivial pursuit. I got all the questions I couldn't answer! I could answer everyone else's though 
Negative,2059092229,eckodabrat,@MsGitMuhnee girl its packed.. good times. I'm tipsy.. wondering what to do tonight 
Negative,2178780236,C_Joy,"@lynnnein She's perked up some &amp; wanted food, but she's still running a temp. No swimming lessons tonight! "
Negative,1977235526,trinketbox24,I feel bad for not feeling well tonight...so many things I could be doing and so many ppl I could be seeing 
Negative,2181201892,sofsterrawr,@katarinahj   this is so not fair
Positive,2061150138,amieewhitney,@Heinzines definitely a vampire  but sleeping breaks up my boring life
Positive,1760360639,AppleJuice1234,I wish I could be cuddling with him (: that would be Nice 
Negative,2048450554,dumioo,Dang!! No more KKSF.  SF without Smooth Jazz station is just weird.
Positive,1759312767,violetarchie,"@DavidArchie : Have a nice week. Welcome to Asia the second time  , have fun"
Positive,1976184941,dani17dd,"@marii7 not (A), i not writing (A) sorry doll "
Negative,2070147916,StudioPham,Ok. Old people drives crazy!!!  And I'm in the car with one 
Positive,1823572472,aneehan,"@mybonescostme Yep, I did. I liked it! It was very interesting. JAM babies is like Baby Talk coming to life! (I love that fic) "
Positive,1989835278,JessicaKate31,made muffins today they were yum. 
Positive,2046750605,MzStarPerfect,Sometimes I wanna choke the hell outta him.... and times like this i cant do anything but smile 
Positive,2008966239,helloimbrianna,"At the pool with miranda,john,steph,troy and Demarcus "
Positive,2059382495,true_rockstar,nice day  !!!!! / full cirlce miley cyrus its great  YAU !!!
Positive,1835143045,prince_aLfred,@myaabaoag12&gt; sorry. hehe. i don't kNow it yet. sorry. sorry. 
Negative,2217304271,tikyon,But what already happened cannot be changed 
Negative,2228964846,secretlybatman,Windstream's email is almost as annoying as dealing w/ that damn bank. 
Positive,2015072236,sarabedford,@mattwardman I don't think it's moved from Hertfordshire since I was there a couple of hours ago 
Negative,2055693330,maluandjimm,@dustergrl we love the place its just small  it was ok but now with Journey its a bit small
Negative,2256032634,Ordessia,"This day is just too long. It is cold and rainy  and worst of all, not over yet."
Negative,2266337744,oh_that_jpiff,sitting at work bored bored bored and extremely tired !  happy fathers day to my daddy ! (:
Positive,2189183941,Kmwapniarski,"Watching 2 days in Paris, this is such a fucking hilarious movie. If you haven't seen it, put it on your must see list!! Night all "
Negative,2200581147,Caitrog14,Miss them.... 
Positive,2001965329,radiz,@brucel already updated about the universities list to you via e-mail. 
Positive,1969385732,tandcmitchell,@MupNorth wow time differences blow my mind... Good morning to you my dear/goodnight to me 
Negative,2202405269,GesMarie,@caityfosho 
Negative,2013763096,somemandy,"@PH7S coffeeTU, sushiTU, karaokeTU, all are not pregnancy friendly . Guess everything must hold until after labor+breastfeed period "
Positive,2067685175,Keelotan,@rozsavage be carefull what you wish for 
Negative,2176036167,shinsh0ku,oh. and plagarise without getting caught. 
Negative,1993386641,art_by_kazumi,"Numbers of viewers are going up (Thanks out there!), but no sales.  My Etsy store: http://bit.ly/OVVbv"
Positive,1880701237,robcthegeek,"Had a nice session of JDCC last night since I ended up going to UG meet a week late because I borked calendar..  JDCC = JD, Coke n Code "
Positive,1836417373,andrewsmhay,"mmmm.....time for some lamb, rice, and veg.....making all my coworkers jealous "
Negative,2254274215,LindseyD4,@sharonveazey yes it was to you. Lol and cuz I need a ride. 
Negative,2257055255,toastyoats,Broke down on 51 and missed the wedding   http://twitpic.com/7xohw
Positive,1968709362,ShawnaSimpson,had a great time at #TulsaTough tonight - a friend in the VIP tent gave Keelin a cowbell.. my ears are ringing! 
Negative,2068574599,little_mousie,Ugh shawna smells this sucks i should be used to it but its jus so hard to be used to sad mouse 
Positive,1969462476,jgreever,A site of mine I'm working on that will be featuring comics done by my friend Adam  http://cli.gs/s7V12N
Positive,1986966852,vampiresita,"It's taking great willpower to not eat the ice cream in the freezer. Lucky for me, willpower's never stopped me before. "
Negative,2177342697,tina29646,so lost I forgot my I-Pod today 
Positive,2057494386,RichardDerwentC,@SynergyBlog you re most welcome 
Negative,2178298037,abi281,Primeval extinct?   http://tinyurl.com/kvo9s2 That's my sister's boyf out of a job then.
Negative,2067989966,listentobjcom,@DesiDollas I don't feel the love anymore. 
Positive,1992854311,Chazline,had an awesome day    now to revise...
Negative,2006457744,martin_j001,Excited to get my new white mesh riding jacket...today's ride home in a black jacket will not be cool (pun intended)...89 right now... 
Negative,2201889616,8805,"just got done fishing, only caught a little one "
Negative,1961519659,SpiritedDreamer,"'s throat is killing her... and she's whining, great. "
Positive,1992335517,adipedia,Am quitting #spymaster. My money is off for grabs 
Positive,1827534084,jmkane,@oreoking Yeah just look at what it did to &quot;Culture Club&quot; 
Positive,1970804828,Bambi_2790,"@TizRheaD  yeh I still don't really get what's going on lol, but ill get used to it  how are you? X"
Negative,2192207376,salo_aaron,yeeaah! Goin to work 
Positive,2016055215,irina30,@seanmurphymusic in norway 
Positive,2000546121,BULLETINABARBIE,@tommcfly Do you just google yourself now or have you got those photos on your computer? 
Positive,2067471745,linnetwoods,@forevershadow Thanks so much for retweeting @k8dt 's kind request for help for me 
Negative,2186098458,Jessicamazing_,I just want to go home.. 
Positive,2002777653,alexnicoleperry,going to school! after school im headed off to a party!! 
Negative,1557009152,anthonylewry,@MariahCarey lucky you've got your pipes...throat infection in my neck of the woods 
Negative,1968892505,MAKEUPBITCH,@margiemcgrath 
Negative,1835610923,louise_imagine,@keipoth bon courage... 
Negative,2053001778,EgoPimp,"Woke to  blackbird in kitchen, feathers EVERYWHERE.  Poor thing petrified. Managed to get it out, just lying in garden now. Evil cats "
Negative,2061058951,jenn182,@dougiemcfly too bad you guys didn't come down...my friends and I waited for 2 hours 
Positive,1982890444,levO11,"@okcomputer27 I really should ignore it, but I like goading her on my twitter  ***insert evil laugh***"
Positive,1752618200,JessieAutumn123,"Just got back, "
Positive,1965564849,jkulyan,"@Edlowthegreat Oh, I see, that makes sense.  How do you know that, though? Did you read that someplace? Good luck with your cakes! "
Positive,1833483559,raydensaintsinn,@rockingla yep...just got back home a little while ago. things keep getting better 
Positive,1753452538,MarioParkerM,@MichaelMCrowley i saw wolverine too! 
Positive,1557858884,citycommunity,@RayM_11 You betcha! Will there be audio of it posted somewhere? 
Negative,1975993469,TiffCori,Fresh out the hospital werd finally they sayin it could be a nostral drippin &amp; that could be cloggin up ma throat... 
Positive,2184253857,pochaccopnai,@lindork Yayyy &lt;3 Lemme know when you're done 
Positive,1824350338,Ellen_Maher,@Orlando_Bloom Hi Orlando... hope you are having a great night 
Positive,1882146398,HappyMomAmy,@joannahelmer I hear that!  TGIF!
Negative,2056003887,JosieAnnGoodwin,Im trying go get people to join twitter. Not going too well. 
Negative,1956831922,Typaulding,FML....I get in these awful places in my head sometimes....now is one of those times 
Negative,1564023810,katrina71486,Really hoping to get a job.... and is now getting worried! 
Positive,1822865079,billycreech,@missionsguru whew! I was SO worried about the reality of your southern roots. Only for a moment though. 
Positive,1989796563,raboof,@Plip Just about everyone. 
Negative,1824900807,QueenOfSwords,Chocolate cream cheese icing came out bleah. Not sure what went wrong 
Positive,1685873090,masterballerina,bit box of ferrero rochers all for me. yay 
Negative,1824597067,PTPayne,Morning. Knackered and moody. Dull weather doesn't help 
Positive,1989684707,gadgeterija,"@stvari  ovoga puta si bio brÅ¾i, the battle goes on... ;)"
Negative,1981787557,tifany82,just tried to recreate a breakfast dish I had once at a restaurant that I loved...didn't turn out so well 
Negative,2062078372,S1m0n3212,@NickoLayP  I cant play it yet!!!!!! im sending in my laptop to get fixed!!!!!!!!!  super sad face
Positive,1932668825,holysarahnips,i remember when sean kingston used to be the shit. 
Negative,2211605342,the1triple,Freedom til tomorrow! My last day in the pharmacy 
Positive,1564585389,jimmarshall,April showers bring May showers...and cottagers as well   
Negative,1999540262,myactingsite,@goaliemom31 THAT BLOWS!!!  More reason for the Wings to KILL Pitts...  Sorry for anyone you know there that is loosing a job 
Positive,1967135403,LindisCS,"@upthisway Thanks for your company, ThisWayUp Team.  Love your cheerful wee programme on a rainy winter Saturday "
Positive,2175050368,bbkline93,ichatting my sister 
Negative,1556859733,paigeebaby,Short stack oneshot :S I need a storyline 
Negative,2222699101,EllaFitz21,"@leslie_pearlman I wish!! I am running to work now, I'm working Thurs. now "
Positive,1988737175,Ashleylebron,@MrsPinkyIvory it wasn't stupid..but muy evil!!! and the ending was madd CRAZY. I'm so scared to go to sleep now..ima bout to get my baby 
Positive,1974960098,EddieHdz,Love the Dolce light blue 
Positive,1957571856,Derizann,@Applemuncher  What is a bit of distance between real flatpacklovers....? 
Positive,1753485362,rockstar2nyt,has stuff to do but refuses to do them.  :[
Negative,2257615424,xMoonyx,Very Bored 
Positive,1468023239,mayveleezet,day 2 is almost over!  i can't wait to eat wade...hehe...
Positive,1557766693,kaeb,taking my hostee to the station before church.. yet again another long day 
Positive,1975026036,WealthEvite,"Want &quot;780&quot; NEW like-minded people to join me on Twitter!  This week's goal is 3,500 &quot;Tweet Friends&quot;    http://Twitter.com/WealthEvite"
Negative,2288162085,Marc_Jay,Adding a failing SuperDrive to my list of woes 
Positive,2051160673,larasati,@donnyeffrien &quot;Aduh cantik bgt.. Pasti mau kotbah ya?&quot; (Jelas-jelas she knew I'm MC-ing).. And so much lamer ones you don't want to know 
Negative,1881293152,Xh_,Nearly failed my english 
Negative,2002136881,kennygo,@astridcallista They're out 
Positive,1995382242,robhoosein,"sometimes, one beer isn't enough! "
Negative,2181622255,littlemissbree,headache  wine perhaps...?
Negative,1989136770,LittleBriBee,"It's amazing how strongly you can feel for someone, even when they don't feel the same. "
Positive,1997197960,amandarenee513,Just got home....I am super tired. I think I am going to take 30 min nap 
Negative,2001846913,Lynne_GLAM,@MissRichards We're closed annually for 3 weeks in Spring term and 5 in summer term for the Upper school lib to be an exam room. 
Positive,1970093302,zackoid,@thebleachworks Hey there Christian! Thought i'd stop by and tweet Hello. Love the tracks on MySpace! Have a smashin' day! 
Positive,2057872182,Gibeaultb,Just held kameel for almost 5 mind without him crying.... And then he saw linda and that was all over 
Positive,1993161570,kahunageezer,@Vanilah sounds like Heroes for the angst ridden teens - could be an interesting mix 
Positive,1880588019,CiaoVino,AHH!  Andy Dick mentioned my name approximately 5-7 times in his broadcast and I feel SPECIAL!  Totally worth staying up until 4AM
Positive,1997854059,Bizcuits,@DjPhalseiD you okai babe?...you have my condolences....if u need to talk hit me up 
Positive,2049479906,Denyque,Had a really great day! My hair looks decent once more  Woot! What's going onnnn my fellow twitterachiis??
Positive,1972632998,Jillaayy,such a nice day out.  
Positive,1974428588,backhandcb09,"finally, feels like summer again. laying out at the pool... ah "
Positive,1752086612,mightysmith,@DonyaMaries oh absolutely!  I cant wait for the lettuces to come up.  
Negative,2200709999,erekaemory,"My dad is such a Jerk... I really want to go to the Miley Cyrus concert, but he won't buy my sister's ticket "
Negative,1967678680,MissIrishKelly,Sleep soon. Up early 
Negative,2324157986,waldorfs,@grossesbises omg that sucks 
Negative,2070698560,Simoree,Just found out that summer orchestra has been cancelled. I'm sorely disappointed.  But it'll make August all the more sweeter!
Positive,1956222461,RachSparkles,"@zachkendrick Glad to see you on Twitter! Just so you know, you don't have to say &quot;Zach is...&quot; when you tweet. Unless you really want to! "
Positive,1827724901,James_Talbot,Were right at the top again! I think i will take more care with picking the seats next time i book anything  x
Positive,1996312649,_QueenJ,@thamisses23 thursday: tae-box!!! hell yeaah 
Positive,2174765410,sexysexyaha,@andreaschoice you shouldn't eat after 8!! Drink water instead haha 
Positive,2179554386,kdonisice,"@AlexAllTimeLow hey  are you going to be home, in maryland when nothing personal comes out?"
Negative,1968391032,txmay,No more Birdman till next season.  
Positive,2058179173,chris_official,Jochen Called me a Few minutes ago. Now i am so happy  my sadNess is Gone hihi.
Positive,1795702990,JessRS,@dorfird great news! thanks for bringing me up to speed! 
Negative,2300742800,astamat,is sad that Transformers is sold out everywhere within a 50 mile radius 
Positive,1969115203,brampitoyo,@richburroughs o rly? I would love to see that 
Positive,2053116642,Geeee,@Creasnoop so what do u think of it pro? Do u like it? 
Positive,2015876194,leepowell,@zeldman That's a lovely image I now have in my head. Thank you. 
Negative,1752308463,Phoboy86,"I'm dreading tomorrow morning, my sisters and I start training for the lb marathon  altho we plan to run to krispy kreme. Haha"
Negative,1822756823,yesssPecan,Oh nooo! The organizer has tracked me down and asked me to sing on their 20th anniversary 
Positive,1962137279,BeckyKingston,@JasonBradbury have a great time! 
Positive,2062974711,alexzbabyy,oh adam. just text me 
Positive,1548700073,littlemissynvu,"...I'm excited, but I'm gonna miss sleepin' in late  lol"
Negative,2301780316,ainasevilla,school now...and the rain's going away. 
Positive,2055337695,dr_benway,"@hanaroda yeah, sure. go ahead.  but you have to wear it the rest of the day there.  "
Positive,1880373474,vnesnz,"Ok, Where is he? I'm sure I seen his tweets fly past. @michaelgrainger are you hiding from me. See @rubydoor I am crazy. "
Negative,1823189265,ARFoote,loves the late shift because i can sleep in....but I hate the late shift because I have to work....late 
Negative,2066516253,rhyse91,I really want The Sims 3. 
Positive,2054794990,leecris,@RangerPiet Thanks so much for posting the update re the mechanic not arriving yet - I really appreciate knowing what's happening at WE 
Positive,1572888403,J0SMILES,SO DON'T DO IT 
Positive,1975216264,foogirl,@BeckyJ28 @YourMomb thanks guys! 
Positive,1986766376,KielO,AWESOME 1 vs 3 goal by abdelkader.  
Negative,1467919538,ubecupcake,"I'm SO behind in video games, and everything for that matter. I'm yesterday's news "
Positive,1980400056,sarahperalta,@zacharylevi HI I am an avid fan of yours! i really like to watch chuck. It would mean a world to me If you reply to me just once.  thnx.
Positive,1989165618,eatshytanddie,"On a side note, the paper was doable! "
Positive,2051070092,H3aTbOi,@katieeminaj sister your so crazy lmao!!! ILY sister 
Positive,1993791925,LunaandLarrys,@DebiDalio Which central market do you shop at?  I'll have a sales rep give a call 
Negative,2256418952,animecosette,Watching So You Think You Can Dance. Love this show. Never get to watch it though.  Should probably study afterwards. Ugh. Math sucks.
Negative,2050221550,Explore_It,Just checked our big sticky rat traps for a mouse/baby prairie dog and we got nothing  #fb
Positive,2049026610,tifftay,is at her cousins graduation! 
Negative,1548574364,iheartnynuk,@amykay1 ohhhhh okay.  hey @heatherhll !
Negative,2246352245,cmepowers,@jdes9924 it won't even turn on anymore 
Positive,1997010984,Airon022,"Reading The Catcher in the Rye, the second book of my book club.  What are you reading?"
Negative,2262779086,xiekaniez,i didn't get to chat with my frinds today..how sad 
Positive,2003731260,hao_country,@missweirdO14 Tell me about to our laptops electric uses when u have time. 
Negative,2057361030,Laineymc,@Indiechicken Is bump giving you grief. 
Negative,2000256097,KDestruction,my internet's been cut off NOO so it's internet cafes for me until i leave! there will be a lack of twittering 
Negative,2296302573,kaylakepford,i want a day off 
Positive,2188360451,gigglegirlnoel,"Taylor Swift's album &quot;Fearless&quot; has been running in my head all day! It's a good album! She is so creative, and deep with her songs! "
Negative,2056968817,ACLAZ92,Sick as a mofo  Maybe if I go out I'll feel better? Or maybe a Pens win tonight will make me feel better? 
Positive,2062836541,xSteffiix,I just woke up 
Negative,1991320940,Darinac,cuz youve wroked so hard and oi havent even worked i feel like im letting my family down  why do i have to be so lazy??  going to study
Positive,2050247142,lover4fashion,@JusTrent unfortunately not....those are forever21 favs 
Positive,1966523555,musiclove18,Waiting for Jonas To Come On Un-Broke : What You Need To Know About Money! 
Negative,2240430622,Baz69,@aion_ayase gah no beta key here*ragequitsTwitter* 
Positive,1999239763,val_marie,i'll see you yesterday 
Positive,2013757858,kyliesmilie12,Is working in front of the heater watching tv. 
Positive,1968808047,i_know_im_kevin,@KhloeKardashian hey i heard you had a great radio show awhile ago.. 
Positive,1989086663,colene,@hellomaple you know that goal might be a lot easier to achieve if you had a friend going with you  hint hint
Negative,2251475822,Welshbybirth,"@SeriouslyKooky yea, great start to the weekend  lol"
Positive,1834469903,anwyn,@misfish My houseguest is looking to get hold of your boyfriend - tell him to check his Facebook 
Negative,2049000970,BiancaisHere,I wish it were national doughnut day here in the philippines. oh 
Negative,2282480029,yummy4unme,I am getting ready to board the plane and head back to south beach  vacation has com to an end
Negative,1678046213,woodsciman,Disaster... The #deli in #Conwy has shut! Where have the two lovely owners gone? 
Positive,1692785537,katdunne,LOVING the new computer! Learning some PSCS4....should probably be sleeping 
Negative,1760040905,AubweeMawee,@flowerrchildd No  haha
Positive,1979468485,Kasee_INTERN,@RONTIGGA aww thank u!! That means a lot!! 
Negative,2012803156,ayyoangela,"At least I thought this feeling would go away, but I guess not. Gross "
Negative,1932315712,DarkChocolate1,"It's going to be one of those nights.  I can tell.  it's midnight and I'm not even the least bit tired.,.  i get up too early for this"
Positive,1833548682,christina_evans,"@impossiblecat Subject Matter Expert. It was a lot of fun, the questions were nice and broad and we gossiped about the evil assignments "
Positive,2015451862,nuttynadii,Akon rocks! he really does 
Negative,2052614774,ubax,Finely completed windows 7 install this morning it feels pretty good so far. Now comes the hard part of installing everything again. 
Positive,2064878750,JustRosalie,@QuilAteara1 lol shes out of tweets 
Positive,1991189360,xtrahmxwohld,@bhrome it's always nice to just ignore everything and play a game. Lego Star Wars is very relaxing. 
